"","row","col"
"1768775",19303,202
"1475673",18206,169
"1119853",5235,128
"1604891",14994,183
"2237311",5091,254
"3834849",12812,432
"4849072",24360,545
"4898575",7167,551
"4016615",11021,453
"2024323",20884,230
"366319",8078,43
"4230498",10288,476
"281155",21981,33
"147121",12327,17
"2585504",9804,294
"975609",11937,112
"4718763",3719,531
"1422401",254,164
"1973574",24671,224
"3201791",1685,362
"1573859",812,180
"2075556",26606,235
"952436",1286,110
"2998699",7525,339
"2709055",18349,308
"5154580",3582,578
"390070",27500,45
"220863",17616,26
"1019828",20216,117
"2126890",27160,241
"2095999",9794,238
"4884209",26609,549
"2733577",1175,311
"2327771",27353,264
"1954119",151,223
"2083977",24586,236
"2879760",11040,326
"4593169",7282,517
"503837",1274,59
"3067636",16951,346
"961928",4224,111
"2794086",16402,317
"1828073",4724,209
"3194765",7287,361
"2942440",5316,333
"4032439",21597,454
"243992",15502,29
"4985090",14167,560
"4179838",15555,470
"2043383",17998,232
"663834",23419,76
"3279103",16401,370
"997763",4411,115
"532519",6521,62
"1796289",12792,205
"4340128",22749,487
"2055320",22473,233
"2883191",18583,326
"3222096",18771,364
"5233525",11495,587
"5188209",20630,581
"3897131",6633,439
"3678153",26009,414
"1720",7478,2
"3240994",13204,366
"965721",11984,111
"988988",10148,114
"5140802",17460,576
"4749666",14691,534
"3084241",12049,348
"4977060",19299,559
"1915266",12349,218
"3113076",17423,351
"3891097",14674,438
"1372281",15736,158
"1555452",2802,178
"4509171",15093,506
"2022258",12101,230
"2998825",7763,339
"4143855",25453,465
"1346485",15434,155
"4602918",5400,518
"520235",25361,60
"5142355",22678,576
"775915",20150,89
"1057391",24765,121
"2442417",3247,278
"510034",20974,59
"1046166",10224,120
"1809145",22939,206
"4331963",26716,486
"3879996",5957,437
"5107705",4704,573
"477971",6116,56
"838867",25661,96
"2174511",22850,246
"3770531",6605,425
"4426603",23209,497
"3972095",19010,448
"2621712",22204,298
"4648283",7841,523
"2694508",21821,306
"5070974",11787,569
"3783236",14304,426
"4541007",26246,509
"2772586",9954,315
"5003494",12690,562
"946631",14327,109
"2893867",22922,327
"4340433",23401,487
"410048",18759,48
"2477970",5969,282
"2595088",11176,295
"3549182",17725,400
"4980192",27087,559
"79568",6483,10
"938881",21833,108
"4473528",1386,503
"5247526",22167,588
"897227",26970,103
"697050",1299,81
"269482",12503,32
"906079",25241,104
"980383",2805,113
"419841",26639,49
"2402184",12824,273
"2480374",11813,282
"2070221",10549,235
"1921858",273,219
"3919846",8030,442
"2250868",20891,255
"2391833",4352,272
"2821573",18674,320
"3990179",15687,450
"4553841",24385,511
"3790690",10673,427
"1397855",8586,161
"1263585",15934,146
"4997786",25444,561
"723021",26556,83
"5231835",6446,587
"1986028",7560,226
"1319277",11920,152
"1178581",5843,136
"1057282",24367,121
"2298336",13359,261
"4782700",26653,537
"1364410",13641,157
"2612340",17868,297
"5137232",8710,576
"932096",3037,108
"3231856",16748,365
"4096005",1780,461
"4823837",9945,543
"2323588",8655,264
"942004",2655,109
"4702847",12453,529
"1995470",3205,227
"1882357",2906,215
"2881757",15506,326
"431278",6388,51
"4132759",17611,464
"4851963",5271,546
"3333956",2910,377
"233421",24838,27
"291512",25858,34
